Ticker,Entry Time,Exit Time,Side,Entry Price,Exit Price,PNL,Exit Reason
LEMONTREE,2025-08-22 09:45:00,2025-08-22 09:57:00,LONG,167.9,166.91,-589.05,Stop Loss
LEMONTREE,2025-08-22 09:58:00,2025-08-22 11:01:00,LONG,166.98,166.1,-526.24,Stop Loss
LEMONTREE,2025-08-22 11:02:00,2025-08-22 13:58:00,LONG,166.88,170.56,2204.32,Target Hit
LEMONTREE,2025-08-22 13:59:00,2025-08-22 14:02:00,LONG,171.26,170.15,-647.13,Stop Loss
LEMONTREE,2025-08-22 14:03:00,2025-08-22 14:34:00,LONG,170.25,169.37,-516.56,Stop Loss
LEMONTREE,2025-08-22 14:35:00,2025-08-22 15:29:00,LONG,169.5,168.9,-353.4,End of Day
ICICIBANK,2025-08-22 12:15:00,2025-08-22 15:29:00,LONG,1437.8,1435.9,-131.1,End of Day
SWIGGY,2025-08-22 11:35:00,2025-08-22 13:18:00,LONG,433.0,430.75,-517.5,Stop Loss
ETERNAL,2025-08-22 11:55:00,2025-08-22 13:08:00,LONG,323.45,321.8,-509.85,Stop Loss
ETERNAL,2025-08-22 13:15:00,2025-08-22 13:59:00,LONG,322.85,321.2,-509.85,Stop Loss
MAZDOCK,2025-08-25 09:55:00,2025-08-25 10:45:00,LONG,2765.0,2751.1,-500.4,Stop Loss
MAZDOCK,2025-08-25 10:46:00,2025-08-25 15:29:00,LONG,2751.9,2751.1,-28.8,End of Day
YESBANK,2025-08-25 09:25:00,2025-08-25 09:29:00,LONG,19.85,19.74,-554.07,Stop Loss
YESBANK,2025-08-25 09:30:00,2025-08-25 10:05:00,LONG,19.76,19.64,-607.2,Stop Loss
YESBANK,2025-08-25 10:06:00,2025-08-25 12:15:00,LONG,19.64,19.53,-560.01,Stop Loss
INFY,2025-08-25 09:25:00,2025-08-25 14:38:00,LONG,1512.1,1527.2,996.6,Trailing Stop
OLAELEC,2025-08-25 09:55:00,2025-08-25 10:00:00,LONG,49.0,48.63,-754.8,Stop Loss
OLAELEC,2025-08-25 10:01:00,2025-08-25 10:03:00,LONG,48.69,48.39,-615.9,Stop Loss
